Month	Location	Units In	Inbound Revenue	Units Out	Outbound Revenue	1st of Storage Rev	Reoccurring Units	Reoccurring Storage Rev	Accesorial Charges	Handling Revenue	Total Revenue	Fixed Cost	Forklift Cost	Warehouse Supplies	Total Variable Cost	Number ManHours	Hourly Labor Cost	Management Cost	Total Labor Cost	Total Cost	Margin	Margin %
Apr-25	BALL ROAD	416	$1,095.93 	5780	$31,600.40 	$5,551.92 	0	$0.00 	$4,401.08 	$0.00 	$42,649.33 	$13,559.35 	$366.35 	$732.70 	$1,099.05 	1,299.25	$24,398.12 	$7,106.30 	$31,504.42 	$46,162.82 	($3,513.49)	-8.24%
Apr-25	4414 WHEELER	0	$0.00 	0	$0.00 	$34,747.02 	0	$0.00 	$0.00 	$0.00 	$34,747.02 	$18,851.57 	$527.00 	$1,054.00 	$1,581.00 	0	$0.00 	$676.79 	$676.79 	$21,109.36 	$13,637.66 	39.25%
Apr-25	AYERS ROAD	22	$114.40 	1761	$1,849.05 	$10,800.02 	0	$0.00 	$0.00 	$0.00 	$12,763.47 	$14,686.69 	$382.50 	$765.00 	$1,147.50 	8.75	$223.59 	$0.00 	$223.59 	$16,057.77 	($3,294.30)	-25.81%
Apr-25	VAN BUREN	1712	$8,667.34 	752	$2,037.50 	$28,057.48 	1	$10.00 	$430.00 	$0.00 	$39,202.32 	$17,818.18 	$442.00 	$884.00 	$1,326.00 	440	$5,408.22 	$5,820.40 	$11,228.62 	$30,372.79 	$8,829.53 	22.52%
Apr-25	3333 ZERO	443	$2,090.60 	213	$0.00 	$24,704.24 	0	$0.00 	$50.00 	$0.00 	$26,844.84 	$12,400.70 	$405.45 	$810.90 	$1,216.35 	308	$2,631.56 	$6,091.11 	$8,722.67 	$22,339.72 	$4,505.12 	16.78%
Apr-25	TULSA ST	0	$0.00 	0	$0.00 	$18,372.86 	0	$0.00 	$0.00 	$0.00 	$18,372.86 	$13,308.83 	$0.00 	$0.00 	$0.00 	0	$0.00 	$676.79 	$676.79 	$13,985.62 	$4,387.24 	23.88%
May-25	5TH STREET	112	$560.00 	130	$0.00 	$0.00 	112	$509.60 	$0.00 	$0.00 	$1,069.60 	$0.00 	$0.00 	$0.00 	$0.00 	15	$234.63 	$0.00 	$234.63 	$234.63 	$834.97 	78.06%
May-25	5TH 3109	69	$174.30 	47	$117.50 	$0.00 	0	$0.00 	$0.00 	$0.00 	$291.80 	$0.00 	$0.00 	$0.00 	$0.00 	4	$0.00 	$0.00 	$0.00 	$0.00 	$291.80 	100.00%
May-25	501 FRESNO	36	$180.00 	62	$0.00 	$0.00 	36	$163.80 	$0.00 	$0.00 	$343.80 	$0.00 	$0.00 	$0.00 	$0.00 	8.25	$167.21 	$0.00 	$167.21 	$167.21 	$176.59 	51.37%
May-25	1400 S 6TH																					
May-25	NISSAN																					
May-25	NEWLON RD																					
May-25	BALL ROAD																					
May-25	4414 WHEELER																					
May-25	AYERS ROAD																					
May-25	VAN BUREN																					
May-25	3333 ZERO																					
May-25	TULSA ST																					
